feature,coefficient
away_rest_days,0.12402339777565538
home_rest_days,-0.11330089237685496
home_b_h_avg10,-0.0741647001935706
home_pitcher_rolling_wins_centered_10,0.07218735745670342
vis_k9_avg10,-0.06788018926748732
vis_pitcher_rolling_wins_centered_10,-0.0579922098599549
vis_b_w_avg10,-0.05118159183467243
vis_b_h_avg10,-0.05023860090666729
home_obp_avg10,0.04622853051551168
diff_k9_avg10,0.04562832934477533
vis_obp_avg10,0.044894900605919816
vis_b_hr_avg10,-0.043212882024425116
home_rolling_avg_runs_10,0.041104640285010284
diff_bb9_avg10,-0.03937840743852306
diff_b_hr_avg10,0.03218757851461378
home_bb9_avg10,-0.02784002855449178
vis_bb9_avg10,0.02704752202068668
home_rolling_avg_runs_allowed_10,0.02573322082948818
away_rolling_avg_runs_10,0.024617427081199912
diff_b_w_avg10,0.024583056207569957
away_rolling_avg_runs_allowed_10,0.02385644907424239
vis_b_k_avg10,0.023078183485764937
home_d_e_avg10,-0.022943959715480345
home_b_sb_avg10,-0.018947269662458924
diff_b_h_avg10,-0.0176075855462166
home_b_w_avg10,-0.01633757105040896
home_ops_avg10,0.014684020257341139
home_whip_avg10,-0.014424930888076243
home_era_avg10,-0.014128115058188069
diff_d_e_avg10,-0.0134794307636735
diff_era_avg10,-0.013079676094603082
diff_whip_avg10,-0.012553120816094719
diff_b_k_avg10,-0.012478919160996303
vis_ops_avg10,0.012281168040493846
daynight,0.011961663808072977
diff_b_r_avg10,0.011675284341340995
vis_b_sb_avg10,-0.010369457376417656
home_rolling_avg_run_diff_10,0.010123047507789437
vis_hr9_avg10,0.009774256721061254
home_rolling_avg_wins_10,-0.008631750500663792
temp,0.007253491834219808
diff_run_diff_avg10,0.0066477484023402455
home_k9_avg10,-0.006593905578048185
diff_win_avg10,-0.006309340760593651
diff_b_sb_avg10,-0.006220728364555224
home_b_k_avg10,0.006094155555036776
home_rolling_avg_h2h_wins_10,-0.005696255783981223
away_rolling_avg_h2h_wins_10,0.0056962557839771106
vis_slg_avg10,-0.005090951721780492
diff_hr9_avg10,-0.00490650777152524
vis_era_avg10,0.004184520266726215
vis_d_e_avg10,-0.003939751450491125
windspeed,-0.003621043506058656
vis_whip_avg10,0.0033963417529874955
home_hr9_avg10,0.0030942988155147513
home_slg_avg10,-0.0025635413481273203
diff_slg_avg10,0.001883668502633106
diff_ops_avg10,0.0015671732461110183
diff_p_r_avg10,0.001156254573044123
away_rolling_avg_wins_10,0.001054731043058882
diff_obp_avg10,0.0007033945696217764
home_b_hr_avg10,0.0001649844604133407
away_rolling_avg_run_diff_10,-3.190249638772988e-05
